Player,Age,Team,Pos,G,MP,PER,WS,WS/48,BPM,VORP,Salary_2526,salary_pct_cap
Kyle Filipowski,22,UTA,C,77,1801,16,3.1,0.082,-1.1,0.4,3000000,1.939901841
Andrew Nembhard,26,IND,PG,57,1786,15.7,2.8,0.077,-0.8,0.6,18102000,11.70536771
Keyonte George,22,UTA,PG,54,1786,18.5,3.3,0.088,0.9,1.3,4278960,2.766920794
Noah Clowney,21,BRK,PF,66,1780,11.2,1.1,0.029,-3.4,-0.6,3398640,2.197675998
Jaylon Tyson,23,CLE,SG,66,1777,14.8,4,0.108,0.1,0.9,3492480,2.258356127
Marcus Smart,31,LAL,SG,62,1769,9.9,2,0.054,-2.2,-0.1,19920855,12.8815011
Brice Sensabaugh,22,UTA,SF,75,1762,14.4,1.1,0.029,-2.6,-0.3,2693760,1.741876661
Austin Reaves,27,LAL,SG,51,1762,20.2,5.6,0.153,2.8,2.1,13937574,9.012508487
Tre Jones,26,CHI,PG,65,1752,18.7,5.7,0.157,1.3,1.5,8000000,5.173071576
Sandro Mamukelashvili,26,TOR,C,80,1751,18.1,6.2,0.169,2.8,2.1,2461463,1.591665535
Tobias Harris,33,DET,PF,63,1746,15,5.3,0.145,1.4,1.5,26634146,17.22254295
Precious Achiuwa,26,SAC,C,73,1745,16.2,2.9,0.081,-1.6,0.2,2111516,1.365377925
P.J. Washington,27,DAL,PF,56,1736,13.1,1.7,0.046,-1.6,0.2,14152174,9.151276132
Josh Giddey,23,CHI,PG,54,1731,18,3.2,0.09,2.7,2,25000000,16.16584867
RJ Barrett,25,TOR,SF,57,1726,17,4,0.111,0.2,1,27705357,17.91522435
Jay Huff,27,IND,C,82,1719,15.2,3.2,0.089,0.4,1.1,2349578,1.519316896
Norman Powell,32,MIA,SG,58,1717,17.5,4,0.112,1.6,1.5,20482758,13.24484665
Cam Spencer,25,MEM,SG,72,1714,17.2,5.3,0.149,2.2,1.8,2537989,1.641149844
Kel'el Ware,21,MIA,C,77,1704,20,6.2,0.175,2.1,1.8,4443360,2.873227415
Dillon Brooks,30,PHO,SF,56,1702,14.1,2.1,0.058,-2.3,-0.1,21124110,13.65956663
Dennis Schr̦der,32,2TM,PG,70,1697,12.9,1.5,0.043,-2.2,-0.1,14104000,9.120125188
